Screen_Time_Hours,Battery_Drain_Percent
4.06,33.95
9.53,67.7
7.45,58.29
6.19,50.16
1.98,20.54
1.98,22.1
1.05,14.85
8.73,67.49
6.21,48.26
7.23,50.63
0.7,11.19
9.71,73.59
8.41,64.68
2.52,18.81
2.23,17.37
2.24,23.84
3.39,28.61
5.49,45.47
4.6,37.28
3.27,27.98
6.31,51.98
1.83,16.26
3.28,28.25
3.98,31.47
4.83,37.51
7.96,59.79
2.4,22.47
5.39,41.29
6.13,51.68
0.94,8.9
6.27,48.33
2.12,18.52
1.12,17.18
9.51,72.16
9.67,75.79
8.18,57.8
3.39,29.53
1.43,17.68
7.0,54.25
4.68,40.96
1.66,15.07
5.2,45.63
0.83,17.71
9.14,67.89
2.96,24.38
6.79,56.89
3.46,33.96
5.44,41.51
5.69,43.57
2.26,19.97
9.71,68.94
7.86,57.26
9.43,68.0
9.0,65.7
6.18,48.16
9.26,70.52
1.34,19.03
2.36,18.52
0.93,14.46
3.59,29.49
4.19,34.18
3.08,28.58
8.37,60.22
3.89,33.38
3.17,27.69
5.66,46.1
1.84,18.75
8.12,69.21
1.21,11.56
9.88,72.57
7.84,58.01
2.39,20.06
0.55,6.94
8.25,66.32
7.22,59.8
7.43,55.3
7.83,57.31
1.2,14.81
3.91,30.71
1.6,18.1
8.7,66.51
6.42,45.39
3.64,35.12
1.1,18.09
3.45,27.31
3.59,28.97
7.43,57.87
6.56,51.92
8.93,69.49
4.99,45.96
1.64,15.95
7.28,53.57
7.73,54.97
5.83,43.62
7.82,59.64
5.19,46.71
5.47,41.74
4.56,37.59
0.74,10.13
1.52,19.21
0.8,18.18
6.55,49.26
3.49,27.96
5.33,45.44
9.12,70.89
2.87,30.63
4.4,37.55
7.68,57.68
2.67,25.46
1.23,16.94
3.25,30.21
2.03,20.73
9.33,73.51
8.18,65.77
6.52,54.79
8.78,68.41
8.13,61.41
2.27,21.33
8.98,71.48
5.62,41.89
8.17,63.3
9.01,66.89
3.52,29.73
1.55,19.69
2.67,24.26
4.56,37.06
8.27,58.81
8.68,68.0
0.57,10.93
5.35,48.94
4.47,35.37
2.61,23.93
1.64,17.23
3.71,35.7
9.46,70.93
3.57,30.83
5.43,44.83
7.18,55.82
3.95,31.31
9.73,73.69
9.64,75.7
2.89,22.15
5.22,41.94
3.36,26.42
3.21,31.06
0.85,6.38
6.29,47.35
5.28,43.09
0.99,16.63
3.15,26.85
9.13,67.24
2.78,30.1
1.88,13.82
5.15,34.45
9.86,75.34
2.8,23.09
6.89,50.17
7.74,61.31
2.76,25.05
7.42,55.25
3.99,29.09
6.51,53.19
6.52,52.59
5.59,43.83
1.36,20.06
8.44,60.87
3.55,25.27
2.27,18.81
0.89,11.09
6.11,48.5
6.94,52.86
0.66,10.68
5.36,38.77
2.65,27.88
6.63,51.16
2.16,23.47
7.06,55.45
4.17,35.56
9.4,72.51
1.81,19.01
3.74,33.11
1.58,20.05
9.28,70.55
8.83,68.94
2.95,25.38
6.77,56.71
8.26,60.79
5.77,50.79
5.53,43.59
2.8,20.31
1.38,15.04
9.02,66.1
9.05,70.87
6.51,48.61
3.72,29.7
3.82,26.07
7.4,55.44
9.02,60.87
8.93,62.76
7.91,62.65
6.6,53.56
1.3,15.38
2.04,16.38
9.04,68.14
6.26,48.81
0.59,5.65
1.46,19.73
6.8,55.23
0.55,8.19
2.03,19.29
5.71,45.6
7.07,48.36
6.69,51.09
2.63,21.36
7.27,52.89
2.75,23.41
3.59,35.52
7.59,60.05
6.67,49.98
8.57,66.71
6.75,56.45
5.9,49.07
1.39,14.91
3.99,30.99
3.02,28.23
2.82,25.92
9.74,75.87
4.23,36.52
8.97,70.94
6.5,48.89
8.05,65.3
5.28,42.55
5.98,53.09
5.18,39.19
2.35,26.66
7.36,57.11
3.17,25.24
0.73,8.66
6.63,50.45
2.18,21.53
9.43,72.58
9.56,70.2
9.19,69.26
4.02,39.57
0.65,14.73
9.32,71.55
4.57,37.1
9.68,73.12
9.65,74.39
8.6,62.13
3.3,27.33
4.16,29.11
8.59,66.33
3.51,31.51
2.11,18.32
5.79,50.25
9.39,67.05
7.11,50.38
5.92,47.11
1.42,18.08
6.34,54.43
9.91,72.99
1.83,21.05
5.42,42.82
8.84,66.36
7.54,60.43
7.12,56.8
7.17,50.46
3.92,36.87
3.29,32.17
8.19,60.45
8.2,63.59
8.74,67.66
9.18,70.04
5.36,40.87
5.26,39.81
8.08,61.48
6.67,55.21
7.17,56.82
8.06,60.31
8.96,70.04
3.71,22.42
4.07,36.94
1.39,9.51
5.99,45.84
0.84,7.52
4.92,35.56
5.66,48.1
3.22,26.14
6.11,48.81
0.79,10.39
0.85,12.38
8.31,63.4
3.92,28.59
1.71,19.96
